用户id	有效请求数	展示数	点击数	总消耗
1605804	38649	28140	826	2907.96
1664097	83049	65124	1687	2904.69
1623258	179099	65134	314	2900.42
1661883	35695	26301	316	2899.2
1672541	46006	45041	10726	2893.59
1633329	169687	117979	897	2868.05
1626947	35386	24409	229	2848.51
1678093	54880	30038	600	2825.3
1641679	1026225	865672	21969	2809.99
1659015	90308	88929	20497	2807.93
1680919	5488	4331	91	2798.86
1624475	28521	18260	268	2795.68
1671747	424124	187935	2564	2794.22
1620620	25019	24577	659	2791.72
1673812	400161	303409	6304	2785.74
1676356	58069	57166	14208	2780.23
1637789	148260	98819	1338	2778.06
1675343	53982	38075	1474	2776.09
1555787	310828	274001	9756	2769.85
1655535	2112591	800576	9972	2767.58
1631893	53947	25980	290	2757.72
1674164	56149	39127	807	2757.63
1657039	125621	86886	3275	2757.28
1680810	183944	99161	1591	2747.02
1677618	31132	22024	390	2734.95
1672969	254555	191393	3866	2732.04
1663237	85001	83664	22962	2708.92
1675463	3163578	1921157	18111	2707.03
1623000	502490	393690	12980	2705.94
1684746	5045125	4583010	54362	2705.36
1669271	927506	147097	2582	2700.1
1668793	1407724	280346	9189	2690.22
1685522	2567535	2539285	42216	2682.71
1677846	141741	99520	2029	2682.31
1682818	75579	52847	565	2674.62
1683056	2128914	2104945	33347	2671
1680735	23975	18166	556	2661.25
1651624	48599	34948	386	2650.45
1673654	1662218	1228910	32604	2642.52
1598366	1145738	1133618	23277	2626.35
1680564	157502	63598	1591	2625.51
1682193	53006	37679	1001	2623.31
1681971	89293	50371	654	2618.81
1550927	55875	39171	891	2614.58
1641824	17559	12886	279	2605.4
1633828	223455	162016	1539	2576.17
1566499	93112	55165	316	2575.72
1660400	691817	229980	2711	2569.75
1675233	61055	39118	558	2558.36
1680462	148312	116346	5553	2557.33
1676559	43057	22347	472	2556.01
1682775	376209	241412	2261	2552.84
1662882	740829	576364	14341	2546.19
1682335	32482	21192	542	2534.44
1681643	290501	274727	28055	2528.51
1683068	334759	331884	4334	2526.99
1644482	143936	102976	3123	2517.71
1671512	318991	256863	15318	2514.87
1680185	787878	583986	9569	2506.09
1667112	43919	29096	352	2498.07
1669854	1248501	1019701	57038	2489.65
1600554	77195	54608	2425	2464.5
1673191	584618	567224	37983	2464.16
1675538	36391	22043	910	2444.58
1579873	109247	72024	1343	2425.95
1675968	984176	511043	24384	2425.18
1659674	3430011	372929	4400	2411.68
1663846	61718	31565	298	2411.65
1660890	75250	51490	1527	2394.09
1633768	1437720	1426325	23417	2386.52
1577378	329120	219041	11753	2384.07
1666165	169523	105571	5440	2370.53
1683296	28982	23373	818	2366.76
1672653	284228	223317	15056	2362.22
1546891	33805	31457	706	2362.06
1674163	203135	136192	1010	2350.48
1526868	561736	298074	2251	2329.13
1619507	3286979	2030324	51084	2326.16
1668046	187113	142258	1153	2322.33
1633630	1454100	1439440	22124	2319.44
1627426	35856	33061	637	2313.81
1669761	623925	608445	22760	2310.82
1619661	163971	106779	3716	2309.66
1658790	14212	11122	170	2307.47
1579876	189461	129788	2744	2307.01
1684072	83965	64905	473	2303.52
1663378	67354	45641	1236	2302.95
1668832	28077	21483	328	2301.7
1682223	89737	53583	765	2284.52
1631889	174264	117511	733	2277.58
1629694	68396	31659	418	2277.05
1675741	53526	48271	1087	2273.54
1682620	207378	143359	2124	2268.5
1651590	31780	19684	166	2263.4
1563755	1230623	1219956	20539	2262.49
1669277	373977	325039	21137	2253.27
1680756	28381	17619	502	2248
1680509	127947	125808	11515	2236.59
1672667	355816	275261	13589	2233.38
1589808	32434	25852	494	2225.88
1680644	1665783	483649	5684	2225.63
1654825	1055351	899824	23103	2214.72
1668015	336502	254471	3678	2214.34
1643702	1662269	872492	8804	2212.44
1667673	819907	71505	2954	2193.03
1613678	3119690	2702458	24707	2192.15
1685413	849753	584385	11318	2191.82
1682366	56429	48292	1469	2190.74
1671506	301180	239100	12736	2189.79
1681588	11250	8244	121	2189.7
1581900	817696	441926	20219	2183.07
1636548	2233631	1585425	64166	2163.97
1586333	2813441	1896614	14308	2152.04
1682739	549978	345170	2851	2149.8
1597024	198991	76284	3835	2143.81
1685363	776646	769063	37813	2142.4
1629890	1519953	1507875	21450	2137.09
1664923	725038	312984	7668	2131.64
1668068	328364	238279	3003	2131.58
1573923	199597	138622	2388	2121.09
1546247	94872	94057	12573	2120.16
1584216	87758	54088	2593	2119.08
1508354	1066875	807613	12273	2114.48
1681188	23378	17199	276	2112.61
1608745	1310490	1298752	18955	2111.8
1662673	1037454	727781	3948	2111.46
1684665	2578039	1870264	44263	2106.01
1618955	178975	106911	1611	2100.95
1655271	27377	21546	325	2100.89
1615458	2030548	2013452	22136	2099.48
1658326	1762421	1543675	19663	2088.51
1671470	56578	39452	1021	2078.65
1623865	27911	19458	270	2074.37
1649997	230803	198368	5307	2059.1
1652193	1114448	723389	8864	2052.56
1681709	32153	23001	314	2044.7
1623253	847970	557799	3912	2043.02
1661777	22157	12719	417	2039.91
1648356	258529	194794	7314	2029.63
1608606	1199253	1190143	18486	2027.71
1623242	409240	303994	2474	2018.57
1676051	9975	7681	98	2008.33
1649769	529009	329722	6544	2002.71
1626382	1315269	314977	7319	2000.7
1675105	107607	75432	980	2000
1681534	55713	55202	13026	2000
1635655	2006972	1551348	42145	1996.37
1680408	3624	3086	60	1990.55
1638654	1595077	1312379	50398	1987.84
1643918	2531880	1855712	26990	1987.82
1606732	195908	70132	10618	1987.71
1644015	431569	341435	12607	1983.06
1560765	1422149	961893	24487	1980.31
1573285	41027	39375	2683	1980.21
1684733	97013	71691	1368	1969.62
1541867	1357627	176211	4178	1969.45
1579782	750746	470315	8821	1946.64
1603346	2458836	1627351	18387	1946.05
1677060	668464	281860	5407	1944.61
1662323	231812	211368	11398	1937.29
1679256	9833	7551	109	1937.24
1676849	10912	10776	455	1930.69
1633786	1236185	1223982	19816	1927.45
1635282	314153	90699	10229	1922.68
1675203	1155255	979112	12064	1921.46
1670050	693647	545841	9192	1914.51
1682932	35417	26384	664	1907.19
1684898	1018858	193990	9974	1900.86
1630304	339601	238298	8254	1894.58
1679188	300969	228166	7857	1891.91
1684256	594078	442816	14429	1885.86
1633075	89679	88526	2412	1884.83
1626316	624569	560193	20062	1883.08
1590574	1246758	533262	24939	1879.3
1628462	82576	59040	484	1878.67
1555913	83768	56795	479	1874.94
1669764	2306373	2242410	38198	1873.6
1555695	17570	11040	166	1871.37
1681824	6341551	6316316	43994	1862.11
1685513	5393	4044	88	1854.89
1633239	84495	83386	3146	1846.95
1680800	693952	159788	6510	1846.57
1682457	161275	143800	6036	1843.75
1671515	93515	43666	2020	1843.12
1680850	117126	66440	1046	1836.24
1670832	284470	279835	18385	1830.73
1576493	20727	14712	145	1821.24
1675928	143826	142857	3477	1818.1
1660917	236791	109936	1465	1813.5
1653897	22418	12911	332	1805.4
1645136	4416463	2927377	25547	1801.15
1661048	70105	47967	514	1792.19
1663994	128037	125412	3650	1788.49
1682664	16404	13020	335	1780.29
1668042	94027	62846	1098	1779.57
1676019	199035	115291	2078	1757.33
1628513	136242	99234	14985	1752.96
1627853	3471	2444	43	1739.73
1683207	713824	489989	18069	1739.36
1682809	14080	10324	177	1736.69
1685574	7934	5439	69	1735.98
1680680	65228	45172	1062	1735.59
1674791	112779	47141	4294	1729.14
1680485	565993	209223	2461	1726.37
1679078	1111136	573101	22269	1718.73
1682711	387883	246340	2341	1717.19
1683904	2671344	2641907	27977	1713.03
1598340	4268580	3392498	32689	1702.4
1685526	60954	39523	300	1697.4
1596558	49287	48913	1749	1696.38
1594061	722119	88185	1754	1695.81
1627851	162804	112633	723	1671.42
1650628	11712	8424	98	1669.41
1655885	820726	558483	2695	1659.61
1678036	7471	5187	77	1656.93
1666231	278323	205678	3233	1656.76
1678498	105248	98225	15043	1655.12
1670563	309637	121761	8361	1646.45
1540012	758706	540283	9981	1642.37
1670079	1962326	1333171	16952	1627.32
1664002	557402	551537	6592	1623.89
1626455	238205	227976	7465	1617.93
1685604	101563	70863	2562	1602.96
1638968	855152	509666	13278	1601.56
1680076	293840	257506	31390	1601.24
1684279	165275	164216	14701	1600.78
1681538	216572	154618	1619	1600.66
1650322	341400	74322	2623	1597.23
1682787	261532	164110	1712	1590.85
1635914	78539	41749	3141	1589.03
1679201	591085	437078	34417	1587.62
1675347	90985	73789	1782	1586.85
1685507	705385	508486	11631	1576.41
1675407	266993	199049	12524	1575.29
1635827	1184771	1173458	16094	1575.13
1685052	78568	77271	13832	1573.65
1679118	6232	6175	305	1566.42
1682813	15693	11810	164	1561.31
1664125	52225	41793	986	1560.48
1657233	334232	254501	9285	1551.85
1623773	8457	6439	103	1550.92
1678729	967791	958466	20371	1545.58
1631189	2613396	2039434	67381	1536.55
1678378	39042	26977	218	1533.31
1645589	401282	305082	6613	1531.6
1546908	21661	20318	504	1530.58
1674232	108248	52167	1135	1529.67
1641728	743353	552474	21907	1527.3
1673244	10060	6997	97	1519.72
1656338	23579	16443	142	1516.83
1668822	62216	56165	1837	1507.14
1566143	184446	138248	4923	1504.76
1685605	491640	352509	9764	1504.13
1593006	402081	299957	5719	1502.12
1641367	880162	872390	11976	1501.65
1634470	693904	497839	5871	1501.18
1600370	385144	182968	4944	1500.96
1676489	220391	148448	2958	1500.75
1682306	25633	18365	392	1499.6
1584462	2080790	381326	2014	1495.83
1681680	1734577	1309072	21998	1491.3
1646231	489020	425543	5997	1481.2
1685080	97382	57307	1030	1481.03
1674410	127729	53065	2081	1479.32
1623315	8110	6508	103	1478.84
1684080	94022	63829	444	1471.65
1673080	13092	9336	104	1466.41
1566936	7076	5029	70	1460.86
1679048	1844670	1804011	14564	1460.2
1629964	81747	51143	680	1458.38
1571811	539347	307377	8351	1457.01
1649801	158878	70175	6104	1455.25
1664121	55090	44349	998	1452.54
1678636	81712	20140	419	1441.95
1651540	24008	17353	148	1441.65
1625586	5085	3336	63	1434.6
1550857	8418	8316	2472	1427.24
1685603	345883	242013	11037	1416.1
1657733	70000	43833	742	1412.23
1665230	1511529	1497221	17426	1408.66
1660224	53903	49751	752	1406.5
1684319	74398	50739	1297	1405.62
1589008	267979	264892	10715	1401.81
1636689	457645	437600	13907	1395.87
1644964	583364	577604	14463	1393.35
1684334	49797	29112	241	1388.93
1647573	674510	586416	16388	1382.09
1681611	555095	547705	10858	1380.75
1677847	78100	55514	1290	1373.88
1685518	7077	5503	94	1370.47
1642965	37217	24984	186	1369.95
1570429	364764	208852	3276	1369.57
1655883	62790	41650	1073	1363.82
1667767	54588	40128	700	1362.53
1650231	378979	287446	3272	1361.71
1622908	114057	113158	12704	1359.98
1646112	329165	246922	8056	1354.47
1580074	15097	11412	171	1353.53
1631145	152289	101504	2118	1352.38
1685473	522957	320064	10728	1346.45
1668884	172234	101813	707	1345.5
1643037	1899401	1261917	11617	1343.93
1682186	39931	30404	738	1341.19
1647561	865824	556378	9286	1336.77
1679300	130093	54408	3438	1330.01
1677932	7721	5512	79	1321.61
1655646	321760	250669	8166	1320.53
1630366	415122	317439	6137	1315.62
1658313	39404	22437	1227	1315.13
1684748	51978	34073	917	1313.15
1678294	126181	78537	362	1308.28
1668821	184934	151640	9706	1307.67
1675890	239669	228486	6672	1305.04
1653188	15916	11494	139	1300.46
1684906	926058	149267	6327	1299.02
1660788	2211364	820299	12251	1298.89
1657356	464922	79101	2515	1295.48
1606296	701275	130162	6712	1292.91
1675852	61120	45262	860	1291.82
1678167	591311	395477	11804	1290.52
1674011	33114	23798	265	1286.03
1674505	103063	81586	3347	1282.92
1683841	2673	1774	34	1280.91
1677849	68737	48590	1063	1280.91
1684535	260188	186885	6540	1278.16
1666965	468357	335910	6837	1278.01
1633020	50743	30420	3829	1273.56
1596542	47584	47228	1371	1272.74
1685046	65467	36376	820	1259
1685541	10917	7903	140	1238.89
1672736	252595	247574	12612	1238.37
1667104	27265	17545	246	1232.54
1683881	107644	78649	2236	1231.94
1675922	159841	158207	2911	1231.79
1668082	56871	46133	1089	1231.76
1657502	120875	82879	669	1231.74
1658289	47716	24403	1151	1228.32
1680678	200695	162453	7500	1227.91
1649798	15200	7868	101	1226.76
1681447	13439	9939	125	1226.4
1576675	687206	603825	6576	1225.87
1685516	575064	568846	10844	1224.72
1682206	165228	137828	6669	1220.83
1626066	126560	97953	2544	1218.99
1685671	1649838	908642	12262	1217.63
1683285	15950	12920	419	1217.32
1618943	16699	11688	189	1216.39
1669917	365123	330832	18332	1213.51
1680812	119278	96244	7285	1208.93
1680586	214533	180294	11665	1206.75
1606266	889594	879962	7337	1204.44
1679264	278959	218140	8879	1203.75
1681290	21862	21343	2779	1195.6
1685359	190312	158219	7064	1194.71
1669883	591490	356586	11960	1192.74
1578350	7886	3958	157	1190.28
1665859	42226	25829	293	1188.92
1587444	47696	19928	1934	1187.27
1671519	71752	21930	1104	1184.24
1650215	163426	39584	1166	1181.68
1676780	208421	158952	1757	1177.86
1653007	46760	31042	240	1171.2
1672028	41951	26329	290	1155.94
1567471	329290	223830	11053	1151.19
1682648	19653	14301	279	1149.62
1669515	18339	12544	115	1148.43
1661211	892503	498947	13106	1147.31
1678277	14850	9930	152	1147.07
1683914	153300	56379	2130	1146.04
1646972	715163	394789	5858	1142.59
1675317	66833	50316	1140	1141.97
1666695	63753	41741	282	1140.4
1559165	354044	256652	5511	1140.28
1610052	59747	42847	2063	1138.43
1620614	13902	13697	295	1131.88
1667979	73598	32225	1022	1126.04
1682817	14363	9972	138	1122.53
1627039	7395	5213	69	1121.37
1642127	111878	111011	15855	1118.94
1651237	135164	100717	2081	1116.57
1685567	13906	11807	195	1115.31
1677851	56298	40017	818	1114.72
1681536	121863	89427	1018	1107.22
1657909	653437	448510	6993	1102.52
1652230	377099	270681	8023	1102.31
1680342	69215	37748	736	1099.18
1570948	11946	7149	84	1095.92
1676786	189315	132816	2058	1094.27
1678575	364410	230925	11241	1093.36
1683255	15145	10849	141	1092.24
1636536	71749	70583	2273	1091.66
1685319	145398	119063	6209	1083.27
1650074	86686	66760	1410	1077.75
1665396	14414	10681	112	1076.55
1677609	30610	21502	219	1076.48
1676073	240389	37826	2514	1072.91
1675276	715921	444378	14964	1072.14
1663352	98222	97450	2388	1071.79
1665159	202486	155443	11522	1062.05
1662317	140363	127694	7934	1058.51
1648248	84116	83020	1096	1056.42
1631631	27207	15698	84	1048.9
1678399	30176	21125	127	1047.37
1664917	75697	36734	2050	1045.59
1676800	128500	87879	1224	1044.22
1558973	13083	8437	71	1042.09
1680683	156401	126900	6070	1039.01
1649724	437276	51934	2378	1033.68
1676806	1600803	1352822	10857	1031.91
1685571	16056	11469	273	1030.66
1681710	1830774	926681	18180	1023.06
1651255	10505	7734	84	1021.83
1685572	81710	72728	2596	1018.62
1674182	61484	37053	327	1017.65
1658328	5140	3995	58	1016.42
1585584	560819	374844	4245	1013.19
1672588	30864	30214	8665	1010.96
1685311	20877	20412	2348	1008.13
1632109	85236	60207	495	1007.76
1579871	69893	48536	999	1004.31
1681520	245765	182662	6417	1002.92
1585894	776547	438628	7013	1002.12
1608497	223807	147713	5471	1001.63
1682474	298384	249726	15004	1001.02
1675029	46231	45908	6711	1000.59
1683733	212077	163695	5838	1000.58
1680073	905568	737844	20168	1000.53
1684696	879426	869444	12049	996.59
1675356	275138	203407	8391	996.25
1655459	115694	92308	6171	995.55
1678563	74105	16985	2619	994.42
1665281	137087	113741	2773	994.39
1685425	343274	249479	4394	993.46
1664106	51217	40329	973	982.41
1680620	179738	175842	4562	981.39
1678545	738694	554714	29948	980.72
1680499	225313	122606	6112	978.99
1680194	45803	27883	4087	969.93
1645681	25738	13386	136	967.46
1647909	107016	106280	2212	964.58
1555142	254298	235909	4933	961.95
1671717	57396	28933	939	961.13
1665931	22105	21827	4295	959.6
1647070	41639	37262	1520	955.71
1663531	112835	83855	4445	953.91
1679654	735693	539489	14232	953.55
1669714	177494	31360	3098	949.83
1684991	71013	37517	1537	949.3
1671611	150985	79279	1875	947.41
1681596	10053	6688	123	946.87
1632902	533106	383432	8127	944.68
1682769	109258	75767	7230	944.29
1683136	10074	7532	114	943.71
1579105	124436	13417	1075	943.28
1678719	693882	508715	14915	941.21
1630270	610837	389110	9391	938.5
1677623	492234	189333	6185	932.37
1675019	130638	99072	4509	931.91
1685623	3603	2477	25	927.95
1524459	624211	411498	5289	924.23
1684078	44834	24991	248	923.03
1650016	200766	154304	9364	921.72
1626295	17820	12316	108	921.31
1681675	3838132	2535895	38068	919.87
1675763	24353	20492	630	919.81
1680414	10586	7584	250	916.42
1552136	27121	19392	677	914.84
1677668	499950	362488	16029	912.2
1685594	4732	3156	38	911.67
1656292	79383	62642	10457	911.19
1667158	134035	109393	3270	909.87
1656660	234238	207119	6859	909.35
1681823	31573	13691	1154	902.62
1676215	185676	133335	2926	900.68
1661908	35188	25107	255	894.4
1685177	462410	312215	7636	892.53
1684077	43141	31475	214	892.18
1671707	1210498	61215	2452	888.78
1674685	163360	132363	5549	886.18
1651495	117828	91248	992	886.07
1680585	73712	51765	411	885.66
1680258	82167	53213	412	883.27
1682127	11719	8702	124	879.53
1683194	428214	310089	5765	877.23
1598780	86771	63765	492	876.18
1647758	227234	138486	4161	875.34
1669540	5058827	3288787	33474	873.61
1685690	895665	594844	9824	869.27
1684531	386899	242658	9085	865.27
1648674	188577	143298	4225	865.14
1682291	15535	10968	240	861.77
1681286	13442	13180	1930	861.23
1680527	22739	15789	134	860.42
1623806	105392	84120	2952	859.78
1680484	254265	193755	8246	857.64
1674571	1172436	397758	3384	851.48
1650993	146353	95286	1480	851.11
1649516	792691	31381	2335	848.88
1524282	8076	5411	79	844.77
1674751	379150	271819	14009	843.99
1677519	45402	33350	702	842
1660798	37152	14863	532	841.94
1668476	796540	561486	10775	841.54
1657279	449098	114966	1340	841.22
1684071	57273	44405	261	833.13
1645725	1510881	965767	27340	832.77
1685227	4179	3185	42	831.9
1579684	54338	21835	1844	829.85
1675214	51850	37346	1109	829.7
1645453	1884988	1489376	17835	827.84
1665352	24139	23940	1193	822.46
1646782	20960	12885	614	817.36
1674266	382878	321524	11852	815.68
1683712	1040977	798871	21527	815.46
1529984	398339	36593	1416	814.04
1672578	16607	16269	3060	813.58
1667820	868084	843188	6543	810.88
1673188	1077193	955573	27146	809.79
1676797	202691	162759	2067	805.91
1600581	119522	66087	996	805.25
1673846	58577	21758	1023	805.2
1681791	72395	37207	1956	803.14
1681272	13335	13074	1767	802.78
1617490	94640	66951	5799	802.05
1611585	133226	90138	4580	801.43
1566581	9937	5812	45	801.27
1681511	271834	216206	7615	794.02
1676819	287630	224983	3329	792.61
1680533	8568	6399	104	791.97
1681185	8021	5784	75	789.28
1680584	64180	50760	3256	789.24
1650585	52648	31517	274	783.98
1672239	51914	36264	558	781.74
1675377	23407	17496	533	776.44
1563674	45266	30084	225	773.1
1640555	52217	33816	588	771.85
1655468	10031	9906	2469	770.62
1666248	67415	50952	311	769.29
1650686	33593	33370	1204	768.92
1682315	455193	450810	6440	766.57
1677843	49606	36017	823	763.56
1678305	9387	6429	102	763.41
1636416	2486878	2363418	31763	762.9
1647907	18094	13518	1017	757.64
1675778	20691	18627	373	756.56
1675992	55986	22804	1001	753.41
1642631	105594	82199	5017	751.34
1643583	56065	31096	2049	751.31
1626449	22980	15409	115	742.99
1682819	8985	6722	88	742.5
1684292	7972	5588	73	742.23
1676793	133371	94203	1164	740.73
1681621	1189	841	39	733.34
1657032	40996	36349	806	731.82
1683880	75729	58125	3694	726.22
1647906	58028	57618	1665	725.22
1684358	64049	54793	1810	721.89
1638309	179868	84922	1858	721.67
1662908	23224	18721	572	721.36
1602552	6919	4962	104	721.17
1623838	13904	9577	237	721.14
1680581	83706	70664	3583	721.12
1662576	11236	7274	196	719.14
1675511	53910	35795	1042	717.71
1682606	113083	84676	1727	714.82
1654238	88686	60890	442	714.56
1678072	136218	134454	3615	713.66
1679318	106779	70150	560	712.9
1657029	22975	18225	479	710.45
1630534	74243	46877	418	709.3
1682712	98572	47831	1766	708.6
1676393	13247	8010	213	708.14
1672638	29188	18024	178	705.9
1633174	392761	389388	6339	703.59
1683562	89866	68807	1749	703.51
1677614	17666	12882	131	702.86
1635918	48772	24389	1775	702.28
1652321	22081	12970	420	700.51
1676030	250686	217724	5109	700.33
1624488	2569	2002	22	698.63
1647529	48765	28718	398	697.61
1646802	149409	113548	1136	695.29
1668252	945796	806167	15275	695.19
1671615	22197	13561	186	694.14
1658619	26768	19252	208	694.12
1685620	66165	53551	2726	691.61
1675292	23969	17047	429	688.45
1644890	38659	38487	1303	688.03
1625591	1806	1560	37	688.01
1654268	26218	19799	413	685.72
1533163	292912	131183	6155	678.97
1675585	23457	14521	547	677.7
1662652	26367	16545	393	674.92
1640627	205175	21038	880	674.05
1684883	194102	175460	10500	673.43
1671612	88574	19337	903	671.93
1647908	39172	38930	1298	669.84
1636361	95383	63281	949	669.1
1680269	122897	82291	594	667.9
1667992	88146	62989	4125	666.15
1680252	96790	71036	1588	665.85
1668718	82220	46383	1073	664.74
1654759	17023	9675	351	664.08
1685629	70874	58356	3447	663.22
1678262	8706	5407	95	662.65
1680382	49971	28228	464	661.73
1681869	183855	122757	5926	661.04
1624787	481373	341694	10492	658.19
1682656	34868	25373	459	656.9
1661972	78397	42238	3890	656.3
1684285	26280	19424	355	655.5
1659103	91910	72724	409	654.91
1627035	3330	2467	45	654.18
1673686	174390	137963	4280	653.79
1684049	134589	102461	6675	652.57
1653192	6273	4402	57	651.53
1595359	398976	285406	5725	651.37
1669557	105325	73903	844	645.79
1683838	2446	1706	18	641.31
1630901	944	699	15	639.03
1607339	10701	10324	1666	637.66
1662916	31647	25488	665	633.75
1681608	60490	46646	795	631.87
1682832	21331	15072	127	631
1651018	481770	107709	1344	628.95
1680989	48601	15760	2416	628.31
1685624	62949	51139	3043	626.76
1653490	858756	514408	13352	626.29
1654302	30312	23121	497	624.94
1680376	54155	39331	1141	622.15
1677189	443596	347504	19249	620.06
1675838	12082	8751	307	618.22
1682870	65662	35992	500	617.24
1672646	402958	132801	4822	617.16
1678712	2251	1246	32	614.09
1651692	18451	17491	357	614.02
1666249	18423	12107	72	613.65
1681104	562039	152787	6217	610.59
1566531	11914	9170	42	609.99
1645338	374231	369825	6464	609.83
1672868	235271	27306	791	608.38
1682677	67480	66431	2430	607.83
1640077	469261	342315	10895	603.55
1683943	46853	32463	2274	600.92
1654234	1761	1301	21	597.78
1656498	4402	3520	50	592.75
1672076	124319	80117	2162	592.52
1637997	4941018	3366682	37229	591.66
1645951	40611	40214	620	590.09
1602696	3318064	1678347	31419	586.7
1627861	346	233	7	581
1674170	40676	40512	848	576.9
1683539	236255	172451	5812	575.9
1584292	64689	63538	5507	575.77
1646976	1067510	748776	22390	572.48
1646340	3345	3300	140	572.34
1678830	100001	77375	2808	571.15
1667612	35176	27713	656	569.85
1627577	22221	15018	112	567.83
1590010	423900	322792	7836	563.89
1685587	19424	15423	364	562.32
1681583	62815	27041	1014	562.2
1646387	40060	16207	471	561.73
1579495	189375	129055	6030	561.4
1679315	77060	49973	422	561.08
1651882	72047	46353	616	560.49
1651270	293309	290526	16015	559.54
1682826	80488	55780	915	558.87
1681499	64176	46572	583	557.01
1672018	21323	12722	151	556.35
1650677	18355	18277	880	554.02
1631884	2399	1630	19	550.22
1685661	2020	1373	18	550.13
1624997	679	498	12	547.73
1668547	11976	9573	64	547.33
1674073	63356	50802	1115	547.03
1635146	292265	290525	4880	544.71
1623888	11288	8714	95	544.1
1684348	92293	73549	5129	541.75
1682693	70259	45081	633	540.4
1646542	13253	12313	318	539.67
1605876	355736	83686	2047	535.63
1644675	265102	262619	5429	534.03
1645026	289001	221003	5500	527.52
1685584	15428	12040	286	527.08
1685573	1564	1085	14	524.1
1654237	4044	2814	28	522.31
1685535	37078	31563	1082	520.94
1600206	56159	39230	3673	520.64
1683206	66398	54444	2867	519.91
1682829	5183	3816	62	519.49
1636083	44113	34485	791	518.11
1650992	136528	66792	1316	517
1684233	201760	152883	3012	516.55
1671207	392581	229096	5773	515.02
1647905	31142	30928	1039	514.92
1599290	797405	436411	21145	514.27
1667806	141757	100694	3543	511.46
1666251	1597094	1258488	20521	510.34
1664667	116524	91412	969	509.25
1657605	10951	7179	426	509.21
1678384	5508	4153	63	508.52
1656228	54565	54166	1228	505.02
1590137	39099	26956	2211	503.7
1631678	87319	82754	1513	503.7
1675305	18995	14080	334	503.56
1681177	11529	8368	219	503.3
1685622	55804	45169	2463	502.84
1625464	2686	1854	25	502.64
1600717	67992	34563	2855	501.95
1680673	167996	91718	4632	500.53
1671230	8965	8882	2164	500.43
1664241	16912	16860	2274	500.06
1554924	996745	563541	12539	499.51
1681482	23279	16226	113	499.15
1681110	115586	76466	431	499.12
1531964	137015	33329	1283	499.11
1678291	637791	298487	4802	492.66
1684038	122345	113442	3962	491.04
1678148	100338	80857	1826	490.07
1636518	59437	58853	1539	489.67
1679151	166693	82386	4437	488.35
1684702	110207	66969	1738	486.57
1665169	74704	38722	1611	484.37
1664287	70784	43149	3396	484.2
1654256	230788	161835	3598	482.5
1626323	30258	22386	524	482.11
1683192	227974	72976	1888	479.57
1685504	1789	1275	22	478.57
1677912	49363	20334	953	477.81
1672357	224825	155258	3448	474.9
1679321	473767	251694	3898	472.11
1682273	110612	71195	782	470.53
1678179	423351	303700	7039	464.61
1570093	878002	677689	19771	463.3
1672135	7568	5887	78	458.03
1668044	49987	35778	338	454.18
1580051	223050	136427	1419	452.53
1637659	1351172	830071	17799	449.84
1677195	147590	106587	4254	449.75
1680937	47088	37981	2026	448.21
1683757	188321	137664	1371	446.45
1683499	439768	236266	3456	446.2
1642086	733725	456093	7662	443.62
1651014	183761	44175	1018	443.23
1592274	652957	354768	4813	442.11
1665769	27184	11201	98	439.24
1681055	282321	171203	2263	435.67
1683550	27519	8919	2374	434.75
1650712	18486	18417	644	433.71
1638537	31739	20617	703	432.63
1625294	61762	43179	2170	430.44
1656654	344562	256372	9051	426.77
1605660	74862	74397	1146	426.48
1550786	95512	77010	5670	426.14
1630863	12219	11979	2303	424.85
1557855	59870	49971	1096	424.74
1659576	36688	27483	1278	420.65
1681541	39013	30474	461	418.42
1652469	73295	14482	1267	411.58
1525577	960954	741543	17771	409.99
1661610	17305	11963	283	408.93
1650007	100258	61639	1006	408.79
1665901	3399	3356	776	405.43
1604919	8271	8088	578	404.6
1685621	52518	42965	2425	397.69
1531158	32432	26283	1381	397.28
1680211	108609	78074	3019	396.72
1664878	11613	6096	49	395.88
1677815	14210	12174	258	395.85
1684432	34756	27472	1928	393.42
1644759	179898	145124	2378	390.05
1676845	135246	86998	2801	389.97
1612547	60983	38236	541	389.04
1651235	29520	22287	471	388.07
1669288	392149	271052	8126	379.35
1667579	508699	265303	4179	377.38
1672543	10582	10340	2511	372.75
1672925	106306	78575	1582	371.95
1680703	44682	30200	1597	371.03
1565585	17455	17273	2509	367.39
1684744	60963	16313	1857	364.62
1683370	74532	37264	971	363.57
1676788	54918	36240	410	362.92
1664167	44336	26776	1128	359.13
1624891	2299	2145	48	356.54
1683053	50788	49962	1786	354.84
1652691	231799	54882	647	353.5
1680391	2128	1559	45	351.51
1585402	868505	646515	21017	351.01
1651579	36744	31662	321	345.43
1638402	11753	4452	477	343.21
1682716	49623	26423	1203	343.14
1638693	109199	79361	3496	341.4
1666807	139652	87603	1762	339.39
1679248	21149	13178	134	333.74
1672556	6201	6152	1328	333.64
1587934	63726	21689	1650	333.58
1685276	39217	28749	2247	332.62
1681105	47822	29484	309	330.26
1604727	31981	8228	1153	327.72
1532847	498352	254618	3239	326.44
1665988	4534	4462	896	323.21
1648182	113715	41938	1405	322.35
1674838	158112	108229	3458	321.55
1674905	214699	74659	1508	320.76
1533110	174562	18487	719	320.45
1676289	41764	31873	1212	320.18
