用户id	有效请求数	展示数	点击数	总消耗
1678170	3190564	2856777	49319	19934.11
1674429	4064194	2070610	64096	19921.81
1658956	2654180	1469006	26124	19917.39
1624356	185519	99908	2182	19814.08
1668823	3866671	2724648	108120	19726.27
1564959	200948	144019	4102	19624.35
1633409	712836	509075	10570	19507.39
1646685	130803	83119	2461	19450.28
1667986	982166	617351	20845	19403.16
1638038	13866516	12902889	202303	19245.26
1682275	5825357	5749281	96763	18968.67
1669478	639155	454894	10524	18860.05
1648635	1913703	1306202	6152	18747.59
1682267	8260864	8162681	130718	18632.3
1660536	68528	67495	18875	18600.66
1677480	307491	211691	6315	18209.28
1660214	1756636	1054101	17066	18073.27
1682132	320742	224901	2779	18059.44
1673599	450351	284159	6395	18045.22
1670641	97408	95628	25406	18036.22
1674151	7118457	4215533	155041	17876.84
1647248	376631	267099	1778	17817.39
1515597	690545	470902	39372	17653.2
1625544	44354	43501	7128	17627.33
1649241	759249	550652	8571	17615.8
1652894	68312	67081	16848	17589.39
1550848	277339	269647	30599	17485.53
1643500	3989160	1510280	19376	17452.85
1535120	283806	199596	3699	17337.58
1646308	285418	215042	7020	17128.72
1674883	89844	67547	1160	16976.43
1682263	140468	98801	1093	16956.48
1657884	1386737	1071890	19289	16914.04
1682189	108324	78387	958	16798.96
1647164	207320	126997	2436	16777.04
1675921	1262654	1177027	16566	16760.27
1646958	426396	311377	2588	16635.64
1673182	1781793	1669068	143187	16393.23
1669076	354715	244341	8067	16200.68
1624415	216274	169063	4539	16180.02
1645704	5133602	2591587	70014	16149.74
1661539	1020592	727890	21223	16116.88
1658791	46764	30209	528	16101.6
1664009	145098	119376	2100	16006.06
1676043	17332267	14024076	110780	15986.82
1624590	274521	128656	2536	15785.44
1653235	1006758	664774	45455	15708.58
1613675	18425487	11896223	121487	15694.39
1659663	1210324	805801	3989	15678.26
1671937	1022165	1014136	188673	15674.63
1675963	285349	254967	3098	15376.94
1657028	150419	109602	2953	15260.99
1658792	104870	69030	930	15228.91
1600551	194575	142270	1255	15213.11
1636127	483723	332728	5140	15148.91
1682455	289012	199163	5143	15057.7
1685569	51811	37172	635	14935.11
1655021	235766	151789	2279	14918.67
1680010	262796	179829	4277	14859.01
1674661	3911676	1170651	57179	14855.43
1654212	3971589	3290575	132820	14748.36
1683213	4837318	2052838	86352	14633.95
1664745	981512	688767	3419	14471.75
1674244	85773	84301	21837	14423.77
1681578	5309984	5229568	81961	14339.01
1674049	172227	167302	32434	14266.97
1672952	1124569	815138	19915	14176.55
1673204	169354	104398	3227	14115.37
1644233	101116	77435	1246	14037.76
1672777	42949	36867	646	13813.51
1678639	4194949	1749558	52261	13809.85
1646278	182227	126348	3305	13751.21
1673679	6056252	4028442	124011	13693.33
1521892	1895870	959725	7896	13559.4
1614566	348825	265543	5453	13539.81
1647752	2162690	1306870	23051	13463.67
1659781	2169672	2136143	78362	13453.04
1514885	435374	194365	4640	13364.02
1628780	8611794	5984057	90118	13195.01
1676847	77544	76297	3058	13139.21
1622013	4115899	2452683	41105	13131.8
1643756	2325732	1100843	12487	12846.86
1685186	67690	49795	954	12788.61
1662644	132721	76841	813	12700.19
1665183	991452	680451	2609	12648.37
1613671	5737200	4210721	124044	12574.27
1659630	7930843	5350052	67020	12419.73
1580059	1651278	1047146	27598	12401.38
1679726	28330	19319	369	12370.16
1659772	1186603	644490	33010	12350.8
1668027	1726991	1140704	15660	12334.79
1654209	1227333	1070242	69664	12315.19
1674154	4973369	2610132	62007	12285.42
1682608	281736	229635	5894	12064.56
1663706	18744516	8042409	145053	12023.9
1681849	59154	40182	589	11968.78
1607152	972288	962878	100273	11963.23
1651053	340766	258292	1599	11944.16
1637174	11668364	6640271	113699	11861.51
1608267	11630213	6746994	90477	11822.6
1661519	734410	525044	16863	11753.1
1663980	54062	48193	1494	11585.73
1684915	111118	80376	1841	11529.05
1667067	156021	115945	4410	11463.18
1667011	1696471	1624812	70710	11420.11
1647498	334447	296893	4977	11381.33
1655651	634876	349675	23266	11260.59
1659637	603296	272236	2999	11198.95
1684731	1068568	772576	9615	11197.23
1673753	118045	80413	1292	11195.84
1676784	1666028	1161428	12445	11140.82
1636559	4108807	2830550	75491	11102.07
1665209	127221	85035	1144	11101.79
1660318	217267	114571	3292	11084.25
1665864	1099797	408482	40916	10967.43
1648871	802607	312036	28416	10938.33
1680684	3825726	2706877	54329	10869.41
1642087	70568	61172	1834	10804.6
1683191	3827458	2522772	60743	10803.67
1613407	258474	172618	4421	10795.63
1622662	127882	105927	2481	10789.62
1615317	288710	195300	4058	10724.7
1605291	7860801	3978976	109575	10659.38
1642875	127220	91697	951	10618.33
1624337	163269	104602	3313	10574.36
1585281	1880610	1189862	16007	10548.41
1642552	5384195	4066467	55757	10469.14
1637338	7096314	7032727	109607	10410.86
1657943	1014512	678394	4946	10405.42
1625473	139491	127722	4281	10379.51
1685511	64667	49225	674	10302.08
1664427	127740	89043	2473	10300
1636402	33406	30863	1264	10299.79
1666367	137390	81296	849	10284.84
1659765	2581450	1808552	61930	10239.31
1631693	299505	255800	3886	10208.79
1622815	531070	216224	13525	10104.74
1657387	364470	283912	8001	10052.45
1626935	163394	137196	2552	10034.52
1671826	72905	56474	906	10032.01
1656310	49609	35913	791	10027.7
1654713	894407	600255	2230	10021.73
1631636	852816	562901	2979	10000
1682412	236479	167787	1588	10000
1671510	690112	304658	8332	9997.01
1651081	2718723	823428	7774	9994.58
1629776	33993	33098	7627	9993.44
1633304	214657	171212	3793	9992.68
1651055	142526	103539	3433	9965.49
1627046	849193	566396	2902	9952.04
1651489	349953	254846	1363	9944.57
1672603	4791520	3479751	41569	9861.7
1661779	130292	86968	1261	9818.78
1637381	170163	125593	2134	9782.46
1663794	416093	382755	5119	9762.81
1678369	117371	87129	1729	9684.39
1647210	10061982	4090422	44778	9659.45
1662814	131196	85814	2489	9601.52
1644653	9529483	8751329	69077	9587.11
1676863	47587	47062	2318	9569.24
1678990	279783	144484	2081	9552.14
1685217	146841	143316	27366	9551.84
1625962	22005	21758	3527	9508.82
1625955	12912	12726	2948	9483.24
1680388	3120449	518551	16637	9447.56
1641080	168078	108143	2806	9436.09
1628994	916609	612054	3495	9397.28
1656574	191157	101982	917	9265.97
1684384	6471824	3967019	85255	9248.31
1589830	74084	58188	1260	9224.36
1584219	354058	204338	7331	9217.01
1665316	123847	80643	1596	9207.75
1668523	343480	192157	3472	9153.23
1672244	1095111	657356	4984	9101.6
1654866	308442	251119	7125	9065.17
1671718	875096	343697	10130	9038.23
1683071	51001	36863	488	9017.01
1676324	202834	178280	5251	9009.67
1674280	655118	647472	11929	9000
1669465	259181	183585	4244	8965.92
1625331	111349	98138	2958	8898.87
1618621	729177	464207	2490	8895.25
1678527	11597875	4388527	127324	8880.41
1638527	306516	261919	5833	8840.31
1664053	3916226	893978	31747	8834.17
1676541	429791	421747	41953	8744.96
1654936	187827	142750	3940	8735.68
1669741	1678798	931680	15706	8725.73
1645392	60565	46429	884	8713.94
1587623	69875	50681	628	8713.62
1675985	1039381	598364	12782	8617.71
1659827	1741766	955686	6701	8596.93
1631894	162183	94233	599	8585.46
1647823	270302	159297	1667	8575.67
1664748	160451	128097	3129	8566.31
1679769	200749	116533	2734	8522.35
1667499	434098	396701	6104	8507.12
1624264	197080	90926	2908	8482.95
1629569	27128	26383	6339	8426.51
1674093	2191312	1743875	43520	8425.4
1626643	54820	38711	549	8423.94
1580831	3877426	2571629	37928	8420.74
1613672	23218932	4483620	78128	8373.62
1642026	2996213	2096345	112033	8350.21
1645393	63028	48346	897	8224.67
1677610	988576	968359	27938	8179.51
1663744	74335	72856	17732	8132.99
1683300	110487	88887	3011	8121.42
1565171	232828	168731	704	8105.94
1589795	103838	69524	1821	8051.64
1678146	62675	43554	533	8031.16
1684361	617124	389274	2822	8013.07
1673651	4026025	2308362	33739	8003.6
1677681	485075	478470	8166	8000
1678559	332425	328698	6036	8000
1611799	123894	94126	1341	7989.41
1681358	51957	51289	14160	7983.6
1674902	2365231	1691125	37765	7952.41
1644913	1365156	959893	31712	7934.07
1681667	124377	90359	2142	7886.79
1680611	2052375	708535	38627	7830.09
1613676	7574086	7058499	96942	7808.75
1624314	82948	55216	934	7800.03
1614636	3177744	1809985	31534	7789.19
1660152	236152	210141	3937	7716.01
1537712	881265	441241	40349	7714.35
1664088	284922	222842	5741	7710.17
1624370	74046	57166	1767	7682.08
1533069	362709	243009	55557	7624.05
1599369	4463216	2805114	58380	7621.37
1607388	2609192	395000	6335	7614.12
1635866	1626924	1141042	27956	7613.51
1680181	104714	77775	1754	7604.28
1619078	479983	435257	7959	7600.98
1669733	1595900	951996	14604	7561.33
1666267	16351	16084	3254	7537.8
1653174	3939060	3722711	131655	7484.77
1643980	1790852	499307	5645	7477.95
1625430	1020001	800189	72230	7469.39
1577308	2918235	957799	6832	7468.82
1649430	1509157	1005302	29980	7459.83
1589342	7105383	2883572	27119	7458.18
1576672	2116146	1606161	22480	7435.13
1546549	1062885	430346	7093	7432.98
1683672	1126372	730371	19208	7404.43
1554403	271557	176720	2251	7380.58
1683422	1933448	474239	26066	7326.1
1664160	195599	139268	1002	7313.22
1680510	1839388	1210852	28334	7226.02
1628280	220657	154577	4173	7218.47
1678232	2602087	961525	29321	7207.03
1661999	97335	75598	2196	7194.97
1655135	155267	111758	1147	7191.99
1556595	81086	63417	1515	7185.23
1656089	620205	161996	4480	7157.97
1684167	137399	98178	2448	7115.24
1641895	221843	161762	2733	7109.06
1683040	91479	48237	1101	7025.02
1632491	3491284	2289933	29960	6998.04
1659763	776512	401336	8841	6992.68
1657517	204167	153882	752	6901.41
1680546	157745	116886	3963	6895.1
1674600	816083	568292	2828	6889.41
1673179	1640083	1382520	102142	6830.81
1681694	63915	41898	492	6820.97
1624471	48618	27883	406	6816.54
1645610	106296	71439	1001	6788.27
1669726	1695306	1026588	12082	6753.56
1683416	1143869	258227	21986	6746.8
1581555	560098	378598	4604	6742.24
1623994	5039446	3301485	38570	6731.74
1671527	560664	210089	7445	6685.69
1664359	794773	561007	4186	6625.73
1653843	72119	53160	1216	6623.36
1569275	43260	30334	362	6608.51
1647705	597183	474511	9376	6607.93
1666928	1482557	1130687	22447	6592.4
1673152	564643	545265	61557	6570.77
1658172	7476	7409	1599	6564.45
1625420	183679	182221	28842	6548.24
1552229	1348442	859298	51071	6536.23
1678192	24186	23553	6610	6526.69
1649180	535301	368469	1908	6526.24
1659771	1533236	1509380	50619	6505.4
1603161	735052	498861	35761	6499.25
1680769	17231	11894	253	6488.84
1608259	7100443	6082693	190095	6471.94
1589800	91390	69046	1428	6468.86
1673115	4973828	3528558	51409	6446.89
1636344	369605	280328	4798	6415.58
1662659	278178	233676	5043	6373.89
1674043	136324	80289	991	6362.77
1646964	101352	67455	535	6350.69
1567876	201689	136073	714	6295.17
1654450	1361925	1306306	23817	6277.23
1522526	61907	40819	607	6238.64
1524469	145951	92217	1696	6231.73
1672085	56643	43974	879	6225.91
1666590	1955028	872067	15012	6218.22
1670423	809310	495115	5649	6190.43
1664951	164371	87521	1153	6152.74
1684219	58230	42134	579	6146.46
1648688	3689921	2939563	31828	6096.89
1681255	373815	298758	8007	6053.11
1591478	1339110	556310	16436	6045.96
1677607	82778	58787	1181	6039.53
1602750	66480	53304	1246	6028.94
1668480	5088239	3880715	78331	6025.1
1684548	2707416	1444563	17150	6024.82
1544900	609286	391417	46013	6001.67
1540925	1150330	649983	4906	5982.73
1674665	2359435	897713	21740	5964.78
1647564	6671935	6251637	61242	5963.76
1649167	3646048	3610817	61382	5961.34
1619227	911447	684799	21527	5957.41
1668670	430466	290480	2560	5953.7
1682290	117814	85094	2106	5924.35
1660799	10797980	1993758	50224	5919.86
1625963	1322443	920254	18995	5902.9
1625380	5377846	3456473	55485	5900.09
1682234	931026	703601	8567	5867.47
1666474	1128196	397726	7166	5860.96
1671750	1435607	553318	7470	5859.56
1642403	107778	67050	1857	5820.36
1684217	188683	75177	3212	5792.12
1665842	594153	489532	9122	5780.1
1598338	6260147	4530194	52984	5677.83
1631536	104170	65181	1530	5672.13
1637455	85784	79457	2403	5655.63
1573086	139107	99337	1654	5623.19
1554836	1494742	926723	19604	5602.28
1647379	2084796	1729758	23672	5576.03
1553584	520174	359334	4533	5565.79
1675383	15140	14978	2749	5499.79
1678440	108078	80705	1198	5493.18
1671487	576791	445883	19668	5486.34
1672608	516769	507208	15600	5447.17
1674551	2035921	1485127	58788	5439.4
1584689	34300	26562	718	5434.17
1657505	574752	384097	3172	5428.24
1681297	1542901	955542	13172	5423.49
1646144	601991	380098	5508	5419.18
1572285	501603	347348	10704	5395.95
1565150	72560	55117	1433	5394.73
1633847	102149	93653	2016	5393.81
1678590	240358	237683	37563	5378.3
1601910	6533137	2723307	25945	5372.05
1634593	3503146	2283498	35218	5342.31
1643906	6216361	3969644	52661	5340.89
1679259	48087	33834	649	5324.23
1669455	49448	34284	1517	5292.44
1685306	12940	8775	128	5264.76
1656309	48365	37263	536	5247.91
1681146	1378838	1085553	58045	5228.16
1672596	138167	103174	955	5126.08
1679731	17421	12999	216	5114.97
1681526	528739	359826	3296	5106.97
1682111	39190	23656	234	5081.02
1577420	252734	194905	50702	5071
1579016	1917069	293052	2992	5066.79
1631507	86530	53878	1370	5030.05
1681138	960744	736158	49665	5010.27
1618014	680663	225203	2828	5003.35
1658895	442968	361598	5310	5001.4
1650021	362839	251787	39469	5000.88
1555048	129696	128680	23014	5000.32
1646880	18662	13753	219	5000
1647425	142001	102539	2461	5000
1610677	2602090	1198106	18138	4999.64
1662260	3920955	2211817	24263	4963.82
1654489	789722	524660	2717	4958.29
1682879	45768	30737	475	4917.09
1651676	599679	575049	24414	4872.86
1643008	2547056	1342664	13070	4845.53
1669742	80387	59327	1478	4842.06
1673378	2068170	1382976	16955	4829.71
1681850	38343	28752	471	4826.31
1682853	13582	9872	161	4811.94
1685125	3541532	3285156	61530	4805.4
1682123	1150417	796378	41862	4784.81
1677164	195640	136409	40169	4779.68
1591574	559490	377203	7155	4778.7
1685682	605411	486091	26622	4778.48
1634414	89102	74010	2148	4754.19
1620605	26522	26262	1090	4734.73
1664394	68387	47530	686	4733.73
1588187	6594835	4146142	34290	4714.54
1647218	1604747	626749	16468	4713.87
1678421	338184	212077	1326	4686.06
1656897	128975	83935	1293	4675.25
1654518	743764	705730	28218	4660.27
1622793	358080	146511	7704	4655.9
1645582	197387	108867	12278	4654.61
1667257	2804926	1678298	28503	4636.24
1672322	432468	427433	29001	4629.51
1678766	2631765	1949293	26666	4625.05
1671420	224232	141935	3213	4619.02
1673694	20482	14330	274	4603.98
1684524	4964448	1581964	41271	4601.64
1660896	19491	12477	269	4594.27
1625545	30066	20882	261	4593.08
1679112	53046	39711	423	4590.26
1634967	1091228	741094	16398	4571.76
1667261	987742	611925	15505	4545.75
1602795	45738	36600	887	4512.47
1625315	914152	593957	7043	4509.36
1669853	101170	52344	859	4501.45
1539225	69507	68696	12830	4477.39
1678134	15941	11206	212	4476.52
1685291	134710	132052	29631	4451.91
1682521	1276759	797198	15107	4435.34
1680208	66033	49031	1150	4435.3
1682134	17523	12679	218	4423.14
1664755	23040	18266	355	4417.44
1649061	106151	59523	602	4401.12
1657876	994949	748755	7676	4377.64
1674147	313907	287925	25488	4362.95
1575363	949046	592151	14147	4352.23
1672367	739614	301985	3622	4337.02
1649711	1529492	657952	25134	4314.19
1645378	918079	910625	89021	4304.02
1664389	92832	59835	854	4298.56
1642402	32383	23737	256	4288.56
1606791	693444	422641	36754	4282.6
1684057	193782	130965	1204	4272.94
1685136	9734	7095	124	4267.62
1637297	104663	88046	1573	4264.99
1671268	625324	413523	3208	4231.51
1668153	1359338	1048860	13460	4225.19
1643031	125596	111217	2197	4222.75
1660231	350933	168753	2805	4215.38
1633022	207980	85171	9204	4206.02
1674247	2032311	1108492	32330	4205.85
1645578	5728827	4168027	101275	4202.8
1639802	113724	111769	6715	4190.48
